Tipo,Empresa,Ticker,Cierre ayer,Cierre hoy,Variación %,PER,Ratio deuda,Beneficio neto
Mayor caída,ACS,ACS.MC,104.1,,,27.19,,1010313984
Mayor caída,Acerinox,ACX.MC,17.8,,,81.09,,54071000
Mayor caída,Amadeus IT Group,AMS.MC,57.38,,,19.21,,1308999936
Mayor caída,Acciona,ANA.MC,210.4,,,31.95,,360000000
Mayor caída,Acciona Energía,ANE.MC,21.44,,,43.16,,182000000
Mayor subida,ACS,ACS.MC,104.1,,,27.19,,1010313984
Mayor subida,Acerinox,ACX.MC,17.8,,,81.09,,54071000
Mayor subida,Amadeus IT Group,AMS.MC,57.38,,,19.21,,1308999936
Mayor subida,Acciona,ANA.MC,210.4,,,31.95,,360000000
Mayor subida,Acciona Energía,ANE.MC,21.44,,,43.16,,182000000
