Tipo,Empresa,Ticker,Cierre ayer,Cierre hoy,Variación %,PER,Ratio deuda,Beneficio neto
Mayor caída,Pentair,PNR,75.68,64.33,-15.0,16.16,,655400000
Mayor caída,Erie Indemnity,ERIE,238.47,210.19,-11.86,19.27,,571392000
Mayor caída,Dell Technologies,DELL,457.54,412.68,-9.8,32.91,,8408999936
Mayor caída,Progressive Corporation,PGR,226.58,205.22,-9.43,10.43,,11559000064
Mayor caída,Western Digital,WDC,563.32,513.84,-8.78,30.71,,6350000128
Mayor subida,PayPal,PYPL,47.37,55.52,17.2,10.42,,5058999808
Mayor subida,BlackRock,BLK,1025.44,1093.4,6.63,27.56,,6255000064
Mayor subida,CBRE Group,CBRE,133.13,141.41,6.22,32.29,,1312000000
Mayor subida,Invesco,IVZ,28.73,30.3,5.46,9.5,,-667000000
Mayor subida,BNY Mellon,BNY,154.5,162.35,5.08,20.14,,5719000064
